gas_type,distance,consume,speed,temp_inside,temp_outside
E10,15.4,5.1,21.0,22.0,24.0
E10,18.4,4.2,59.0,22.0,24.0
E10,16.6,3.8,43.0,21.5,16.0
E10,15.4,4.2,50.0,21.5,21.0
E10,16.0,3.7,45.0,22.0,17.0
E10,16.0,4.2,41.0,22.0,15.0
E10,15.4,4.1,45.0,22.0,24.0
E10,16.0,4.0,43.0,22.0,16.0
E10,21.0,3.8,37.0,22.0,21.0
E10,15.4,3.8,47.0,22.0,24.0
E10,16.0,3.8,42.0,22.0,17.0
E10,16.0,4.0,42.0,22.0,15.0
E10,15.4,4.8,40.0,22.0,18.0
E10,17.2,3.9,35.0,22.0,16.0
E10,16.6,4.6,50.0,22.0,25.0
SP98,18.3,4.3,46.0,22.0,16.0
SP98,16.0,4.1,46.0,22.0,17.0
SP98,16.3,4.0,35.0,22.0,23.0
SP98,16.0,3.7,44.0,22.0,16.0
SP98,18.3,4.3,46.0,22.0,23.0
SP98,17.0,4.2,48.0,22.0,16.0
SP98,17.3,4.2,36.0,22.0,22.0
SP98,6.0,4.8,27.0,22.0,17.0
SP98,16.0,4.1,45.0,22.0,15.0
SP98,15.4,4.9,55.0,22.0,18.0
SP98,15.4,4.3,39.0,22.0,23.0
SP98,16.0,3.9,35.0,22.0,18.0
SP98,15.4,4.5,52.0,22.0,26.0
SP98,16.0,3.6,43.0,22.0,19.0
SP98,20.9,4.1,33.0,22.0,21.0
